Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
40,0,1,9,4,0,1449,3,1,3,2,2,3,1,3975,3,0,0,11,3,3,80,2,11,2,4,8,7,0,7
53,2,1,7,2,3,1201,4,0,3,5,3,3,1,18606,3,0,0,18,3,2,80,1,26,6,3,7,7,4,7
42,2,1,2,4,0,477,1,1,2,2,0,4,0,6781,3,0,0,23,4,2,80,0,14,6,3,1,0,0,0
34,1,0,11,3,1,1289,3,1,2,2,1,2,2,4490,4,0,0,11,3,4,80,2,14,5,4,10,9,1,8
32,2,1,1,1,1,134,4,1,3,1,6,1,0,2956,1,0,0,13,3,4,80,0,1,2,3,1,0,0,0
45,2,0,4,3,1,1744,3,0,1,3,1,3,2,9756,4,0,0,21,4,3,80,2,9,2,4,5,0,0,3
32,2,2,1,4,2,2016,3,0,3,3,7,4,2,10422,1,0,0,19,3,3,80,2,14,3,3,14,10,5,7
38,2,1,25,2,1,421,1,0,2,3,5,2,2,12061,3,0,0,17,3,3,80,1,19,2,3,10,8,0,1
37,2,1,1,3,1,391,4,0,3,1,6,4,0,2115,1,0,0,12,3,2,80,0,17,3,3,17,12,5,7
29,1,2,1,1,3,312,2,0,3,3,7,4,2,7918,1,0,0,14,3,4,80,1,11,5,3,11,10,4,1
41,1,1,9,3,3,999,1,1,3,5,5,3,1,19419,2,0,0,17,3,2,80,1,21,2,4,18,16,0,11
30,0,2,25,2,5,475,4,0,3,2,7,3,2,4736,7,0,1,12,3,2,80,1,4,2,4,2,2,2,2
24,1,1,9,3,3,1494,2,1,3,1,2,1,0,3172,2,0,1,11,3,3,80,0,4,2,2,0,0,0,0
51,2,1,8,4,1,296,2,1,2,3,5,2,2,12490,5,0,0,16,3,4,80,2,16,5,1,10,9,4,7
31,1,2,26,4,2,1967,1,1,3,2,7,4,2,5617,1,0,1,11,3,3,80,0,10,4,3,10,7,0,8
44,2,1,4,3,3,852,4,1,3,2,0,2,0,5933,9,0,0,12,3,4,80,0,10,2,2,5,2,2,3
28,0,2,4,3,3,129,2,1,3,2,7,3,2,4221,1,0,0,15,3,2,80,0,5,3,4,5,4,0,4
