,eventTimeStart,eventTimeEnd,latStart,lonStart,latEnd,lonEnd
162,2017-03-22 16:50:25,2017-03-22 17:14:26,38.7735368,-9.168737,38.76522,-9.098054
136,2017-05-24 12:20:56,2017-05-24 12:21:02,47.409291,8.546942,47.423743,8.555213
589,2017-05-24 12:21:08,2017-05-24 12:21:13,47.409291,8.546942,47.423743,8.555213
1505,2017-05-24 12:21:17,2017-05-24 12:21:21,47.409291,8.546942,47.423743,8.555213
524,2017-05-24 12:21:24,2017-05-24 12:21:31,47.409291,8.546942,47.423743,8.555213
609,2017-05-24 12:21:32,2017-05-24 12:21:34,47.409291,8.546942,47.423743,8.555213
1116,2017-05-24 12:21:37,2017-05-24 12:21:38,47.409291,8.546942,47.423743,8.555213
1355,2017-05-24 12:22:08,2017-05-24 12:22:09,47.409291,8.546942,47.423743,8.555213
1258,2017-05-24 12:22:23,2017-05-24 12:22:26,47.409291,8.546942,47.423743,8.555213
373,2017-05-24 12:22:27,2017-05-24 12:22:32,47.409291,8.546942,47.423743,8.555213
673,2017-05-24 12:23:17,2017-05-24 12:23:20,47.409291,8.546942,47.423743,8.555213
674,2017-05-24 12:23:21,2017-05-24 12:23:25,47.409291,8.546942,47.423743,8.555213
1414,2017-05-24 12:23:30,2017-05-24 12:23:31,47.409291,8.546942,47.423743,8.555213
759,2017-05-24 12:23:38,2017-05-24 12:23:40,47.409291,8.546942,47.423743,8.555213
1019,2017-05-24 12:23:45,2017-05-24 12:23:45,47.409291,8.546942,47.423743,8.555213
1296,2017-05-24 12:23:46,2017-05-24 12:23:53,47.409291,8.546942,47.423743,8.555213
569,2017-05-24 12:24:26,2017-05-24 12:24:28,47.409291,8.546942,47.423743,8.555213
848,2017-05-24 12:24:44,2017-05-24 12:24:50,47.409291,8.546942,47.423743,8.555213
849,2017-05-24 12:24:51,2017-05-24 12:24:53,47.409291,8.546942,47.423743,8.555213
492,2017-05-24 12:24:56,2017-05-24 12:24:57,47.409291,8.546942,47.423743,8.555213
1226,2017-05-24 12:25:29,2017-05-24 12:25:33,47.409291,8.546942,47.423743,8.555213
1220,2017-05-24 12:25:45,2017-05-24 12:25:46,47.409291,8.546942,47.423743,8.555213
968,2017-05-24 12:25:56,2017-05-24 12:25:58,47.409291,8.546942,47.423743,8.555213
1495,2017-05-24 12:25:58,2017-05-24 12:25:59,47.409291,8.546942,47.423743,8.555213
342,2017-05-24 12:26:37,2017-05-24 12:26:38,47.409291,8.546942,47.423743,8.555213
1165,2017-05-24 12:26:48,2017-05-24 12:26:50,47.409291,8.546942,47.423743,8.555213
1515,2017-05-24 12:27:04,2017-05-24 12:27:05,47.409291,8.546942,47.423743,8.555213
5,2017-05-24 12:27:10,2017-05-24 12:27:10,47.409291,8.546942,47.423743,8.555213
1138,2017-05-24 12:27:43,2017-05-24 12:27:49,47.409291,8.546942,47.423743,8.555213
739,2017-05-24 12:28:09,2017-05-24 12:28:15,47.409291,8.546942,47.423743,8.555213
902,2017-05-24 12:28:26,2017-05-24 12:28:31,47.409291,8.546942,47.423743,8.555213
343,2017-05-24 12:28:38,2017-05-24 12:28:40,47.409291,8.546942,47.423743,8.555213
716,2017-05-24 12:28:42,2017-05-24 12:28:43,47.409291,8.546942,47.423743,8.555213
561,2017-05-24 12:28:47,2017-05-24 12:28:55,47.409291,8.546942,47.423743,8.555213
344,2017-05-24 12:29:09,2017-05-24 12:29:12,47.409291,8.546942,47.423743,8.555213
1048,2017-05-24 12:29:29,2017-05-24 12:29:30,47.409291,8.546942,47.423743,8.555213
691,2017-05-24 12:29:36,2017-05-24 12:29:37,47.409291,8.546942,47.423743,8.555213
712,2017-05-24 12:30:03,2017-05-24 12:30:03,47.409291,8.546942,47.423743,8.555213
345,2017-05-24 12:30:15,2017-05-24 12:30:19,47.409291,8.546942,47.423743,8.555213
637,2017-05-24 12:30:26,2017-05-24 12:30:27,47.409291,8.546942,47.423743,8.555213
731,2017-05-24 12:30:27,2017-05-24 12:30:28,47.409291,8.546942,47.423743,8.555213
601,2017-05-24 12:30:34,2017-05-24 12:30:36,47.409291,8.546942,47.423743,8.555213
1,2017-05-24 12:30:37,2017-05-24 12:30:37,47.409291,8.546942,47.423743,8.555213
1083,2017-05-24 12:30:43,2017-05-24 12:30:48,47.409291,8.546942,47.423743,8.555213
144,2017-05-24 12:30:54,2017-05-24 12:30:55,47.409291,8.546942,47.423743,8.555213
750,2017-05-24 12:31:06,2017-05-24 12:31:08,47.409291,8.546942,47.423743,8.555213
530,2017-05-24 12:31:08,2017-05-24 12:31:09,47.409291,8.546942,47.423743,8.555213
1402,2017-05-24 12:31:13,2017-05-24 12:31:18,47.409291,8.546942,47.423743,8.555213
414,2017-05-24 12:31:19,2017-05-24 12:31:25,47.409291,8.546942,47.423743,8.555213
233,2017-05-24 12:31:33,2017-05-24 12:31:33,47.409291,8.546942,47.423743,8.555213
