Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,0,2,1,1,4,1,77,1,1,2,2,4,3,1,5993,1,0,0,18,3,3,80,1,7,2,4,7,5,0,7
54,0,1,1,1,4,1,1245,4,0,3,3,4,3,1,10502,7,0,0,17,3,1,80,1,33,2,1,5,4,1,4
34,1,1,1,7,3,1,147,1,1,1,2,2,3,0,6074,1,0,1,24,4,4,80,0,9,3,3,9,7,0,6
39,0,2,1,1,1,1,1026,4,0,2,4,4,4,2,12742,1,0,0,16,3,3,80,1,21,3,3,21,6,11,8
28,1,1,1,1,3,3,1111,1,1,2,1,2,2,1,2596,1,0,0,15,3,1,80,2,1,2,3,1,0,0,0
24,0,2,2,4,1,3,1445,4,0,3,2,7,3,2,4162,1,0,1,12,3,3,80,2,5,3,3,5,4,0,3
29,0,2,1,9,5,0,455,2,1,2,1,2,4,0,3983,0,0,0,17,3,3,80,0,4,2,3,3,2,2,2
36,0,2,2,2,2,3,513,2,1,2,3,7,3,2,7596,1,0,0,13,3,2,80,2,10,2,3,10,9,9,0
33,0,2,1,4,4,3,305,3,0,2,1,6,2,2,2622,6,0,0,21,4,4,80,0,7,3,3,3,2,1,1
34,0,2,1,2,4,5,1383,3,0,3,2,0,4,0,6687,1,0,0,11,3,4,80,0,14,2,4,14,11,4,11
24,1,2,0,22,1,4,1714,4,1,1,1,1,3,2,1555,1,0,0,11,3,3,80,1,1,2,3,1,0,0,0
35,0,2,1,10,4,3,1587,1,0,3,2,0,3,0,6142,3,0,1,16,3,3,80,0,10,4,3,5,2,0,4
30,1,2,1,3,3,5,297,4,0,3,1,6,1,0,2657,5,0,1,11,3,3,80,0,8,5,3,5,2,0,4
54,0,2,1,8,4,1,578,3,0,3,2,2,3,0,3780,7,0,0,11,3,3,80,0,19,3,3,1,0,0,0
34,0,2,1,1,3,1,1447,4,0,2,1,2,2,2,3294,5,0,0,17,3,1,80,1,7,2,2,5,4,0,2
47,0,2,2,2,4,1,925,4,0,2,1,8,4,0,3294,1,0,1,18,3,1,80,0,3,3,2,3,2,1,2
36,0,0,2,15,4,2,2036,4,1,1,2,7,4,1,5406,1,0,0,24,4,1,80,1,15,4,2,15,12,11,11
35,0,2,1,1,4,3,1172,4,1,2,1,2,3,2,2258,6,0,0,12,3,2,80,1,10,2,3,8,0,1,7
29,0,2,2,19,3,1,1497,3,1,2,2,7,3,1,8620,1,0,0,14,3,3,80,2,10,3,3,10,7,0,4
56,1,2,1,14,4,1,161,2,0,3,1,6,2,2,4963,9,0,1,18,3,1,80,3,7,2,3,5,4,4,3
45,0,2,1,10,2,1,544,1,1,3,1,6,4,2,2654,3,0,0,21,4,4,80,2,8,3,2,2,2,0,2
46,0,2,1,1,4,3,288,4,1,3,3,0,1,1,9396,7,0,0,16,3,3,80,1,17,3,3,4,2,0,3
39,0,2,1,10,1,3,1800,3,1,3,3,5,3,0,13464,7,0,0,21,4,3,80,0,9,3,3,4,3,2,2
52,0,2,2,3,4,2,776,3,1,2,4,3,1,2,16856,1,0,0,11,3,1,80,0,34,3,4,34,6,1,16
32,0,0,1,1,3,1,951,3,0,2,1,2,2,2,2332,6,0,0,20,4,3,80,0,5,3,3,3,0,0,2
46,0,1,1,18,1,3,624,1,0,3,3,0,3,2,10527,5,0,0,11,3,4,80,0,28,3,2,2,2,1,2
28,0,2,1,17,2,3,536,3,1,3,2,2,1,1,4558,1,0,0,12,3,4,80,1,10,2,3,10,0,1,8
29,0,2,1,23,2,1,824,3,1,4,1,6,3,2,2700,1,0,0,24,4,3,80,1,10,3,3,10,7,0,7
39,0,2,2,24,1,2,2056,2,0,2,4,7,4,2,12031,0,0,0,11,3,1,80,1,21,2,2,20,9,9,6
33,0,2,1,9,3,3,1238,1,1,3,1,6,4,2,2781,0,0,0,13,3,2,80,1,15,5,3,14,10,4,10
38,0,2,2,3,3,1,307,1,1,3,3,7,3,1,10609,0,0,0,12,3,3,80,2,17,6,2,16,10,5,13
27,0,1,1,5,2,1,1850,4,0,3,1,2,4,0,2379,0,0,1,14,3,3,80,0,6,3,2,5,4,0,2
19,1,1,2,1,1,5,235,3,0,1,1,8,1,0,2325,0,0,0,21,4,1,80,0,1,5,4,0,0,0,0
54,0,2,1,17,3,5,1013,3,0,3,3,4,3,2,10739,8,0,0,11,3,3,80,1,22,2,3,10,7,0,8
53,0,2,1,23,4,1,901,4,0,3,4,5,4,0,14275,6,0,0,18,3,3,80,0,33,0,3,12,9,3,8
