Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,0,Travel_Rarely,Research & Development,1,4,Life Sciences,77,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
54,0,Travel_Frequently,Research & Development,1,4,Life Sciences,1245,4,Female,3,3,Manufacturing Director,3,Divorced,10502,7,Y,No,17,3,1,80,1,33,2,1,5,4,1,4
34,1,Travel_Frequently,Research & Development,7,3,Life Sciences,147,1,Male,1,2,Laboratory Technician,3,Single,6074,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6
39,0,Travel_Rarely,Research & Development,1,1,Life Sciences,1026,4,Female,2,4,Manufacturing Director,4,Married,12742,1,Y,No,16,3,3,80,1,21,3,3,21,6,11,8
28,1,Travel_Frequently,Research & Development,1,3,Medical,1111,1,Male,2,1,Laboratory Technician,2,Divorced,2596,1,Y,No,15,3,1,80,2,1,2,3,1,0,0,0
24,0,Travel_Rarely,Sales,4,1,Medical,1445,4,Female,3,2,Sales Executive,3,Married,4162,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3
29,0,Travel_Rarely,Research & Development,9,5,Other,455,2,Male,2,1,Laboratory Technician,4,Single,3983,0,Y,No,17,3,3,80,0,4,2,3,3,2,2,2
36,0,Travel_Rarely,Sales,2,2,Medical,513,2,Male,2,3,Sales Executive,3,Married,7596,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0
33,0,Travel_Rarely,Research & Development,4,4,Medical,305,3,Female,2,1,Research Scientist,2,Married,2622,6,Y,No,21,4,4,80,0,7,3,3,3,2,1,1
34,0,Travel_Rarely,Research & Development,2,4,Technical Degree,1383,3,Female,3,2,Healthcare Representative,4,Single,6687,1,Y,No,11,3,4,80,0,14,2,4,14,11,4,11
24,1,Travel_Rarely,Human Resources,22,1,Human Resources,1714,4,Male,1,1,Human Resources,3,Married,1555,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0
35,0,Travel_Rarely,Research & Development,10,4,Medical,1587,1,Female,3,2,Healthcare Representative,3,Single,6142,3,Y,Yes,16,3,3,80,0,10,4,3,5,2,0,4
30,1,Travel_Rarely,Research & Development,3,3,Technical Degree,297,4,Female,3,1,Research Scientist,1,Single,2657,5,Y,Yes,11,3,3,80,0,8,5,3,5,2,0,4
54,0,Travel_Rarely,Research & Development,8,4,Life Sciences,578,3,Female,3,2,Laboratory Technician,3,Single,3780,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0
34,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1447,4,Female,2,1,Laboratory Technician,2,Married,3294,5,Y,No,17,3,1,80,1,7,2,2,5,4,0,2
47,0,Travel_Rarely,Sales,2,4,Life Sciences,925,4,Female,2,1,Sales Representative,4,Single,3294,1,Y,Yes,18,3,1,80,0,3,3,2,3,2,1,2
36,0,Non-Travel,Sales,15,4,Marketing,2036,4,Male,1,2,Sales Executive,4,Divorced,5406,1,Y,No,24,4,1,80,1,15,4,2,15,12,11,11
35,0,Travel_Rarely,Research & Development,1,4,Medical,1172,4,Male,2,1,Laboratory Technician,3,Married,2258,6,Y,No,12,3,2,80,1,10,2,3,8,0,1,7
29,0,Travel_Rarely,Sales,19,3,Life Sciences,1497,3,Male,2,2,Sales Executive,3,Divorced,8620,1,Y,No,14,3,3,80,2,10,3,3,10,7,0,4
56,1,Travel_Rarely,Research & Development,14,4,Life Sciences,161,2,Female,3,1,Research Scientist,2,Married,4963,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3
45,0,Travel_Rarely,Research & Development,10,2,Life Sciences,544,1,Male,3,1,Research Scientist,4,Married,2654,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2
46,0,Travel_Rarely,Research & Development,1,4,Medical,288,4,Male,3,3,Healthcare Representative,1,Divorced,9396,7,Y,No,16,3,3,80,1,17,3,3,4,2,0,3
39,0,Travel_Rarely,Research & Development,10,1,Medical,1800,3,Male,3,3,Research Director,3,Single,13464,7,Y,No,21,4,3,80,0,9,3,3,4,3,2,2
