Age,Attrition,BusinessTravel,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_0,Department_1,Department_2,EducationField_0,EducationField_1,EducationField_2,EducationField_3,EducationField_4,EducationField_5,JobRole_0,JobRole_1,JobRole_2,JobRole_3,JobRole_4,JobRole_5,JobRole_6,JobRole_7,JobRole_8
37,0,2,1,4,77,1,1,2,2,3,1,5993,1,0,18,3,3,1,7,2,4,7,5,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
54,0,1,1,4,1245,4,0,3,3,3,1,10502,7,0,17,3,1,1,33,2,1,5,4,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34,1,1,7,3,147,1,1,1,2,3,0,6074,1,1,24,4,4,0,9,3,3,9,7,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
39,0,2,1,1,1026,4,0,2,4,4,2,12742,1,0,16,3,3,1,21,3,3,21,6,11,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
28,1,1,1,3,1111,1,1,2,1,2,1,2596,1,0,15,3,1,2,1,2,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
24,0,2,4,1,1445,4,0,3,2,3,2,4162,1,1,12,3,3,2,5,3,3,5,4,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29,0,2,9,5,455,2,1,2,1,4,0,3983,0,0,17,3,3,0,4,2,3,3,2,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,0,2,2,2,513,2,1,2,3,3,2,7596,1,0,13,3,2,2,10,2,3,10,9,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,0,2,4,4,305,3,0,2,1,2,2,2622,6,0,21,4,4,0,7,3,3,3,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34,0,2,2,4,1383,3,0,3,2,4,0,6687,1,0,11,3,4,0,14,2,4,14,11,4,11,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
24,1,2,22,1,1714,4,1,1,1,3,2,1555,1,0,11,3,3,1,1,2,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
35,0,2,10,4,1587,1,0,3,2,3,0,6142,3,1,16,3,3,0,10,4,3,5,2,0,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30,1,2,3,3,297,4,0,3,1,1,0,2657,5,1,11,3,3,0,8,5,3,5,2,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
54,0,2,8,4,578,3,0,3,2,3,0,3780,7,0,11,3,3,0,19,3,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
34,0,2,1,3,1447,4,0,2,1,2,2,3294,5,0,17,3,1,1,7,2,2,5,4,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
47,0,2,2,4,925,4,0,2,1,4,0,3294,1,1,18,3,1,0,3,3,2,3,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36,0,0,15,4,2036,4,1,1,2,4,1,5406,1,0,24,4,1,1,15,4,2,15,12,11,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35,0,2,1,4,1172,4,1,2,1,3,2,2258,6,0,12,3,2,1,10,2,3,8,0,1,7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,0,2,19,3,1497,3,1,2,2,3,1,8620,1,0,14,3,3,2,10,3,3,10,7,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
56,1,2,14,4,161,2,0,3,1,2,2,4963,9,1,18,3,1,3,7,2,3,5,4,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45,0,2,10,2,544,1,1,3,1,4,2,2654,3,0,21,4,4,2,8,3,2,2,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
46,0,2,1,4,288,4,1,3,3,1,1,9396,7,0,16,3,3,1,17,3,3,4,2,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
39,0,2,10,1,1800,3,1,3,3,3,0,13464,7,0,21,4,3,0,9,3,3,4,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
52,0,2,3,4,776,3,1,2,4,1,2,16856,1,0,11,3,1,0,34,3,4,34,6,1,16,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
32,0,0,1,3,951,3,0,2,1,2,2,2332,6,0,20,4,3,0,5,3,3,3,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
46,0,1,18,1,624,1,0,3,3,3,2,10527,5,0,11,3,4,0,28,3,2,2,2,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
28,0,2,17,2,536,3,1,3,2,1,1,4558,1,0,12,3,4,1,10,2,3,10,0,1,8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,0,2,23,2,824,3,1,4,1,3,2,2700,1,0,24,4,3,1,10,3,3,10,7,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,0,2,24,1,2056,2,0,2,4,4,2,12031,0,0,11,3,1,1,21,2,2,20,9,9,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,0,2,9,3,1238,1,1,3,1,4,2,2781,0,0,13,3,2,1,15,5,3,14,10,4,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
38,0,2,3,3,307,1,1,3,3,3,1,10609,0,0,12,3,3,2,17,6,2,16,10,5,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
27,0,1,5,2,1850,4,0,3,1,4,0,2379,0,1,14,3,3,0,6,3,2,5,4,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19,1,1,1,1,235,3,0,1,1,1,0,2325,0,0,21,4,1,0,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
